City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
155,Torbay,CA,47.6666,-52.7314,45.37,93,20,12.66,few clouds
156,Klaksvik,FO,62.2266,-6.589,32.92,61,85,4.41,overcast clouds
157,Coihaique,CL,-45.5752,-72.0662,49.95,66,90,5.75,light rain
158,Mandiana,GN,10.6333,-8.6833,94.86,21,75,7.49,broken clouds
159,Kargasok,RU,59.0556,80.8572,28.6,84,99,12.91,overcast clouds
160,Copacabana,CO,6.3463,-75.5089,63.03,100,75,2.3,haze
161,Catuday,PH,16.2923,119.8062,79.14,75,100,10.87,overcast clouds
162,Cherskiy,RU,68.75,161.3,-5.46,99,97,4.12,light snow
163,Atikokan,CA,48.7555,-91.6216,21.27,88,100,9.86,overcast clouds
164,Fonte Boa,BR,-2.4959,-66.2662,78.87,82,86,2.42,overcast clouds
165,Puerto Penasco,MX,31.3167,-113.5333,67.69,29,0,6.89,clear sky
166,Saint-Francois,FR,46.4154,3.9054,36.84,93,90,13.8,light rain
167,San Andres,CO,12.5847,-81.7006,80.96,78,55,17.78,broken clouds
168,Isiro,CD,2.7739,27.616,87.22,45,91,3.18,overcast clouds
169,Coxim,BR,-18.5067,-54.76,86.4,60,19,8.84,few clouds
170,Bethel,US,41.3712,-73.414,34.16,69,90,0.0,light snow
171,Sur,OM,22.5667,59.5289,80.94,42,0,6.35,clear sky
172,Uribia,CO,11.7139,-72.266,78.46,83,64,7.16,broken clouds
173,Lexington Park,US,38.2668,-76.4538,47.86,59,40,0.0,scattered clouds
174,Puerto Escondido,MX,15.85,-97.0667,76.87,59,92,5.14,overcast clouds
175,Hounde,BF,11.5,-3.5167,96.31,10,95,8.46,overcast clouds
176,Lebu,CL,-37.6167,-73.65,53.33,66,3,14.54,clear sky
177,Jumla,NP,29.2747,82.1838,42.75,70,5,0.85,clear sky
178,Mana,GF,5.6592,-53.7767,81.75,74,32,10.04,scattered clouds
179,Port Blair,IN,11.6667,92.75,81.66,76,55,9.86,broken clouds
180,Bonfim,BR,3.0833,-59.95,80.8,72,100,6.76,overcast clouds
181,Kutum,SD,14.2,24.6667,84.69,12,0,9.44,clear sky
182,Zhanaozen,KZ,43.3,52.8,47.57,33,93,10.63,overcast clouds
183,Norman Wells,CA,65.282,-126.8329,-21.96,69,75,0.0,light snow
184,Yarada,IN,17.65,83.2667,80.92,61,90,6.91,haze
185,Kharan,PK,28.5833,65.4167,73.62,16,0,3.67,clear sky
186,San Policarpo,PH,12.1791,125.5072,81.23,84,99,10.8,overcast clouds
187,Flinders,AU,-34.5833,150.8552,56.48,84,63,6.29,broken clouds
188,Boca Do Acre,BR,-8.7522,-67.3978,74.66,98,100,3.0,light rain
189,Iqaluit,CA,63.7506,-68.5145,24.53,63,90,9.22,light snow
190,Soyo,AO,-6.1349,12.3689,86.05,76,67,8.93,light rain
191,Maragogi,BR,-9.0122,-35.2225,84.9,64,67,10.83,broken clouds
192,Broome,US,42.2506,-75.833,27.37,100,90,3.44,light snow
193,Codrington,AU,-38.2667,141.9667,51.8,87,0,7.72,clear sky
194,Salima,MW,-13.7804,34.4587,91.44,30,8,4.72,clear sky
195,Port Elizabeth,ZA,-33.918,25.5701,73.69,56,0,18.41,clear sky
196,Marystown,CA,47.1666,-55.1483,45.75,86,8,15.23,clear sky
197,Berestechko,UA,50.3605,25.1107,42.35,88,100,6.67,overcast clouds
198,Vredendal,ZA,-31.6683,18.5012,72.37,64,93,16.44,overcast clouds
199,Esperance,AU,-33.8667,121.9,82.24,40,63,16.06,broken clouds
200,Shache,CN,38.4167,77.2406,35.01,31,14,2.1,few clouds
201,Deogarh,IN,21.5333,84.7333,66.31,51,44,3.62,scattered clouds
202,Chokurdakh,RU,70.6333,147.9167,-37.01,100,98,1.39,overcast clouds
203,Rocha,UY,-34.4833,-54.3333,72.95,74,100,6.33,overcast clouds
204,Lewiston,US,44.1003,-70.2148,25.43,85,1,0.0,clear sky
205,Dharchula,IN,29.85,80.5333,54.88,66,1,3.38,clear sky
206,Wanning,CN,18.8003,110.3967,73.42,83,100,16.84,overcast clouds
207,Banda Aceh,ID,5.5577,95.3222,77.94,84,98,2.62,overcast clouds
208,Balkanabat,TM,39.5108,54.3671,60.58,34,87,2.64,overcast clouds
209,Kurud,IN,20.8322,81.7214,80.58,42,56,5.48,broken clouds
210,Vardo,NO,70.3705,31.1107,12.4,75,27,14.14,scattered clouds
211,Filingue,NE,14.3521,3.3168,96.49,7,78,14.29,broken clouds
212,Pacific Grove,US,36.6177,-121.9166,53.28,66,1,5.75,clear sky
213,Ankang,CN,32.68,109.0172,52.92,55,9,0.96,clear sky
214,Clarksburg,US,39.2807,-80.3445,45.28,49,90,13.8,overcast clouds
215,Mitu,CO,1.1983,-70.1733,73.76,96,99,0.76,overcast clouds
216,Faanui,PF,-16.4833,-151.75,80.64,74,44,9.82,scattered clouds
217,Mut,TR,36.6439,33.4389,68.59,46,62,10.04,broken clouds
218,Kalininsk,RU,51.5,44.4758,36.39,99,100,7.63,overcast clouds
219,Castro,BR,-24.7911,-50.0119,74.23,59,0,3.76,clear sky
220,Ponta Do Sol,PT,32.6667,-17.1,66.83,66,37,7.45,scattered clouds
221,Kolga,EE,59.4867,25.6192,28.27,81,100,11.45,overcast clouds
222,Savonlinna,FI,61.8699,28.88,19.45,73,0,6.91,clear sky
223,Pangnirtung,CA,66.1451,-65.7125,17.69,76,100,6.76,light snow
224,Bilibino,RU,68.0546,166.4372,-4.25,96,100,2.86,overcast clouds
225,Otane,NZ,-39.8833,176.6333,56.14,99,100,2.3,overcast clouds
226,Boguchar,RU,49.9358,40.545,50.18,78,94,5.57,overcast clouds
227,Lorengau,PG,-2.0226,147.2712,81.63,77,100,4.03,overcast clouds
228,Kununurra,AU,-15.7667,128.7333,87.78,58,60,9.22,broken clouds
229,Port Hedland,AU,-20.3167,118.5667,82.45,69,7,6.91,clear sky
230,Enshi,CN,30.3,109.4833,49.89,76,67,0.4,broken clouds
231,Millau,FR,44.0833,2.9167,33.93,95,97,14.18,light snow
232,Ulladulla,AU,-35.35,150.4667,56.3,83,84,3.98,broken clouds
233,Hasaki,JP,35.7333,140.8333,45.0,47,4,15.52,clear sky
234,Piranshahr,IR,36.701,45.1413,52.2,64,97,11.81,overcast clouds
235,Zapadnaya Dvina,RU,56.259,32.0745,34.92,89,100,7.61,overcast clouds
236,Laguna,US,38.421,-121.4238,59.5,93,1,3.44,clear sky
237,Roma,US,43.2128,-75.4557,30.06,86,90,6.91,overcast clouds
238,Erzin,TR,36.9559,36.2,73.92,43,77,3.65,broken clouds
239,Volos,GR,39.3667,22.9458,64.38,60,28,6.22,scattered clouds
240,Mahebourg,MU,-20.4081,57.7,84.49,54,40,13.8,scattered clouds
241,Kavieng,PG,-2.5744,150.7967,82.78,74,95,4.9,overcast clouds
242,Mahanje,TZ,-9.9333,35.3333,82.87,42,64,10.09,broken clouds
243,Novopavlovka,RU,51.2172,109.2091,1.92,97,21,0.34,few clouds
244,Sturgis,US,41.7992,-85.4192,35.85,93,90,5.75,overcast clouds
245,Rio De Janeiro,BR,-22.9028,-43.2075,75.15,89,75,5.75,broken clouds
246,Marsh Harbour,BS,26.5412,-77.0636,71.17,62,28,4.54,scattered clouds
247,Sao Filipe,CV,14.8961,-24.4956,77.09,69,99,13.82,overcast clouds
248,Carnarvon,AU,-24.8667,113.6333,82.47,57,0,18.41,clear sky
249,Pathein,MM,16.7833,94.7333,77.2,81,12,5.97,few clouds
250,Mucurapo,TT,10.6667,-61.5333,77.05,88,72,9.71,broken clouds
251,Tasiilaq,GL,65.6145,-37.6368,22.28,96,100,2.55,overcast clouds
252,Vostok,RU,46.4856,135.8833,14.94,88,63,5.37,broken clouds
253,Camacha,PT,33.0833,-16.3333,63.36,63,40,11.5,scattered clouds
254,Vihti,FI,60.417,24.3197,19.51,67,100,7.63,overcast clouds
255,Marawi,PH,7.9986,124.2928,69.94,96,85,1.48,overcast clouds
256,Bereda,ES,43.2686,-7.5406,42.55,97,98,3.49,light rain
257,Tual,ID,-5.6667,132.75,84.78,66,77,2.64,broken clouds
258,Mae Sai,TH,20.4335,99.8762,72.72,80,50,1.28,scattered clouds
259,Hoa Binh,VN,20.8133,105.3383,69.69,69,12,0.6,few clouds
260,Nuristan,AF,35.3,70.8333,23.09,71,77,4.83,light snow
261,Sonoita,MX,31.85,-112.8333,58.44,33,0,4.97,clear sky
262,Laranjeiras Do Sul,BR,-25.4078,-52.4161,75.0,57,12,3.58,moderate rain
263,Salalah,OM,17.0151,54.0924,83.62,49,11,8.57,few clouds
264,Atzacan,MX,18.9,-97.0833,56.41,62,25,4.68,scattered clouds
265,Homer,US,59.6425,-151.5483,15.69,79,90,16.11,light snow
266,Nantucket,US,41.2835,-70.0995,35.71,51,90,10.36,overcast clouds
267,Kilindoni,TZ,-7.9139,39.6668,81.52,77,94,19.69,light rain
268,Tiznit,MA,29.5833,-9.5,59.27,42,0,5.01,clear sky
269,Vestmanna,FO,62.1564,-7.1664,31.12,86,90,0.0,snow
270,Ostrovnoy,RU,68.0531,39.5131,7.75,93,96,4.68,overcast clouds
271,Pyaozerskiy,RU,65.8333,31.1667,5.79,98,93,2.57,overcast clouds
272,Alice Springs,AU,-23.7,133.8833,67.55,42,0,5.75,clear sky
273,Ust-Ilimsk,RU,58.0006,102.6619,18.32,93,100,7.4,overcast clouds
274,San Cristobal,VE,7.7669,-72.225,66.38,76,18,0.92,few clouds
275,Tukrah,LY,32.5341,20.5791,82.09,30,100,26.33,overcast clouds
276,Codajas,BR,-3.8367,-62.0569,76.41,92,100,1.25,overcast clouds
277,Ust-Maya,RU,60.4167,134.5333,1.13,94,100,7.31,overcast clouds
278,Turukhansk,RU,65.8167,87.9833,3.96,95,100,7.34,overcast clouds
279,Lazarev,RU,52.225,141.5131,18.63,86,99,5.86,overcast clouds
280,Brokopondo,SR,4.75,-55.1667,78.58,85,43,7.87,scattered clouds
281,Finca Corredor,PA,8.35,-82.85,73.38,91,20,3.27,few clouds
282,Kizukuri,JP,40.8061,140.3861,41.41,72,6,7.29,clear sky
283,Rimouski,CA,48.4488,-68.524,29.88,76,100,21.5,overcast clouds
284,Barcelos,PT,41.5388,-8.6151,50.14,64,40,2.24,scattered clouds
285,Balabac,PH,7.9868,117.0645,82.58,74,98,3.49,overcast clouds
286,Charlestown,AU,-32.95,151.6667,64.18,80,100,8.08,overcast clouds
287,Makakilo City,US,21.3469,-158.0858,71.92,80,75,0.0,light rain
288,Zyryanka,RU,65.75,150.85,-40.43,99,72,5.1,broken clouds
289,Zamboanguita,PH,9.1025,123.1996,80.89,84,82,11.34,broken clouds
290,Clyde River,CA,70.4692,-68.5914,-10.5,97,99,6.02,overcast clouds
291,Bodden Town,KY,19.2833,-81.25,75.2,78,20,2.3,few clouds
292,Hirado,JP,33.3597,129.5531,47.55,41,1,2.68,clear sky
293,Dawlatabad,AF,36.4141,64.9053,57.24,41,14,3.85,few clouds
294,Davila,PH,18.4726,120.5763,82.38,80,77,5.84,broken clouds
295,Port-Gentil,GA,-0.7193,8.7815,84.16,79,40,12.66,light rain
296,Ugoofaaru,MV,5.6667,73.0,79.68,81,100,9.71,moderate rain
297,Fare,PF,-16.7,-151.0167,79.83,78,24,10.4,few clouds
298,Airai,TL,-8.9266,125.4092,63.07,93,100,2.08,overcast clouds
299,Los Llanos De Aridane,ES,28.6585,-17.9182,64.15,77,75,18.41,drizzle
300,Yongan,CN,39.6957,113.6871,38.62,63,17,2.55,few clouds
301,Port Hardy,CA,50.6996,-127.4199,48.2,93,90,3.44,overcast clouds
302,Whitianga,NZ,-36.8333,175.7,60.66,86,100,4.18,overcast clouds
303,Kita,ML,13.0349,-9.4895,97.16,13,93,4.09,overcast clouds
304,Komsomolskiy,UZ,40.4272,71.7189,45.32,70,80,2.3,haze
305,Nichinan,JP,31.6,131.3667,49.15,68,1,5.1,clear sky
306,Labrea,BR,-7.2586,-64.7981,75.9,93,100,1.5,overcast clouds
307,Jalu,LY,29.0331,21.5482,88.09,18,100,15.59,overcast clouds
308,Marovoay,MG,-16.1,46.6333,87.94,62,68,7.4,light rain
309,Aljezur,PT,37.3191,-8.8033,58.21,55,12,13.71,few clouds
310,Amahai,ID,-3.3333,128.9167,80.19,82,97,2.13,overcast clouds
311,Mitsamiouli,KM,-11.3847,43.2844,84.49,70,75,14.97,light rain
312,Tilhar,IN,27.9833,79.7333,70.47,44,35,4.25,scattered clouds
313,Eyrarbakki,IS,63.863,-21.1481,33.85,96,100,9.69,snow
314,San Carlos Del Zulia,VE,9.0,-71.9135,74.34,96,89,5.37,overcast clouds
315,Abilene,US,32.4487,-99.7331,46.26,75,1,5.75,clear sky
316,Hithadhoo,MV,-0.6,73.0833,82.0,76,94,15.39,overcast clouds
317,Andujar,ES,38.0392,-4.0508,48.06,50,1,7.81,clear sky
318,Keetmanshoop,NA,-26.5833,18.1333,85.44,6,0,8.3,clear sky
319,Kruisfontein,ZA,-34.0033,24.7314,71.64,55,63,17.67,broken clouds
320,Fukue,JP,32.6881,128.8419,55.99,43,0,3.87,clear sky
321,Chabahar,IR,25.2919,60.643,79.03,50,0,7.63,clear sky
322,Labuhan,ID,-6.8844,112.2051,79.21,80,100,4.63,moderate rain
323,Necochea,AR,-38.5473,-58.7368,61.34,93,100,8.48,light rain
324,At-Bashi,KG,41.1702,75.8106,16.63,71,7,7.31,clear sky
325,Pimentel,PE,-6.8367,-79.9342,62.89,88,20,12.66,few clouds
326,Dingle,PH,10.9995,122.6711,76.41,91,99,7.78,overcast clouds
327,Bambous Virieux,MU,-20.3428,57.7575,84.45,54,40,13.8,scattered clouds
328,Souillac,MU,-20.5167,57.5167,84.58,54,40,13.8,scattered clouds
329,Tiarei,PF,-17.5333,-149.3333,78.82,80,60,15.19,light rain
330,Severo-Kurilsk,RU,50.6789,156.125,31.3,78,90,24.02,overcast clouds
331,Kieta,PG,-6.2167,155.6333,80.35,81,100,1.28,overcast clouds
332,Ahipara,NZ,-35.1667,173.1667,60.42,88,100,1.63,moderate rain
333,Fort Abbas,PK,29.1925,72.8536,76.8,21,0,7.63,clear sky
334,Cidreira,BR,-30.1811,-50.2056,74.35,79,97,2.8,overcast clouds
335,Calatayud,ES,41.3535,-1.6432,52.38,66,61,22.3,broken clouds
336,Hambantota,LK,6.1241,81.1185,80.31,80,95,6.78,overcast clouds
337,Lata,PT,40.1629,-8.3327,50.41,58,8,9.89,clear sky
338,Montepuez,MZ,-13.1256,38.9997,94.24,23,80,6.26,broken clouds
339,Seminole,US,28.7086,-81.2081,57.22,66,37,3.51,scattered clouds
340,Revelstoke,CA,50.9832,-118.2023,32.02,100,90,2.3,snow
